Player,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Keldon Johnson,SAS,SAS vs. MIN,03/14/2022,L,37,34,13,21,61.9,5,9,55.6,3,4,75.0,2,6,8,4,0,0,0,4,-18
Kevin Love,CLE,CLE vs. LAC,03/14/2022,W,18,13,4,11,36.4,3,6,50.0,2,3,66.7,2,7,9,0,0,0,3,2,7
Nemanja Bjelica,GSW,GSW vs. WAS,03/14/2022,W,24,7,3,3,100,1,1,100,0,0,-,0,5,5,3,0,0,1,3,3
Joshua Primo,SAS,SAS vs. MIN,03/14/2022,L,17,3,1,2,50.0,0,1,0.0,1,2,50.0,1,2,3,1,0,0,1,1,-6
Nathan Knight,MIN,MIN @ SAS,03/14/2022,W,8,6,3,7,42.9,0,0,-,0,0,-,0,0,0,0,0,0,1,1,-7
Anthony Edwards,MIN,MIN @ SAS,03/14/2022,W,30,5,2,7,28.6,1,2,50.0,0,0,-,2,1,3,3,1,1,2,2,4
Lonnie Walker IV,SAS,SAS vs. MIN,03/14/2022,L,26,22,8,12,66.7,3,5,60.0,3,3,100,0,3,3,2,0,0,1,1,-6
Taurean Prince,MIN,MIN @ SAS,03/14/2022,W,28,13,5,9,55.6,2,6,33.3,1,2,50.0,0,4,4,4,1,0,0,5,2
Jakob Poeltl,SAS,SAS vs. MIN,03/14/2022,L,29,21,9,12,75.0,0,0,-,3,4,75.0,2,2,4,1,0,3,1,5,3
Dejounte Murray,SAS,SAS vs. MIN,03/14/2022,L,36,30,10,20,50.0,1,5,20.0,9,10,90.0,0,4,4,12,1,1,5,4,-5
Malik Beasley,MIN,MIN @ SAS,03/14/2022,W,19,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,8
Josh Richardson,SAS,SAS vs. MIN,03/14/2022,L,23,2,1,3,33.3,0,0,-,0,0,-,0,3,3,1,2,0,3,1,0
D'Angelo Russell,MIN,MIN @ SAS,03/14/2022,W,29,19,8,12,66.7,3,5,60.0,0,0,-,1,1,2,6,3,0,1,1,15
Tre Mann,OKC,OKC vs. CHA,03/14/2022,L,30,13,4,12,33.3,3,6,50.0,2,2,100,2,3,5,6,1,0,1,0,-13
Vit Krejci,OKC,OKC vs. CHA,03/14/2022,L,15,12,4,7,57.1,4,6,66.7,0,0,-,1,2,3,2,0,0,2,2,-10
Aleksej Pokusevski,OKC,OKC vs. CHA,03/14/2022,L,27,17,6,11,54.5,2,5,40.0,3,4,75.0,3,2,5,5,0,0,6,1,-13
Theo Maledon,OKC,OKC vs. CHA,03/14/2022,L,31,6,2,9,22.2,0,4,0.0,2,2,100,2,5,7,4,1,0,2,2,-21
Isaiah Roby,OKC,OKC vs. CHA,03/14/2022,L,9,0,0,0,-,0,0,-,0,0,-,0,4,4,0,0,1,0,4,-6
Darius Bazley,OKC,OKC vs. CHA,03/14/2022,L,35,25,10,18,55.6,4,9,44.4,1,2,50.0,0,4,4,4,0,0,2,0,-14
P.J. Washington,CHA,CHA @ OKC,03/14/2022,W,30,6,3,9,33.3,0,3,0.0,0,0,-,2,3,5,1,2,0,0,0,25
Kelly Oubre Jr.,CHA,CHA @ OKC,03/14/2022,W,17,11,4,9,44.4,1,4,25.0,2,5,40.0,1,3,4,1,1,1,0,2,-8
Isaiah Thomas,CHA,CHA @ OKC,03/14/2022,W,17,12,4,10,40.0,4,4,100,0,0,-,1,0,1,4,0,1,0,1,5
Bones Hyland,DEN,DEN @ PHI,03/14/2022,W,31,21,7,14,50.0,4,9,44.4,3,5,60.0,0,4,4,2,0,0,1,0,16
Tyrese Maxey,PHI,PHI vs. DEN,03/14/2022,L,42,19,7,13,53.8,2,6,33.3,3,4,75.0,0,3,3,3,0,0,0,2,1
Shake Milton,PHI,PHI vs. DEN,03/14/2022,L,8,3,1,1,100,1,1,100,0,0,-,1,0,1,0,0,0,0,0,-11
Josh Jackson,SAC,SAC vs. CHI,03/14/2022,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,1,2,-4
De'Aaron Fox,SAC,SAC vs. CHI,03/14/2022,W,42,34,13,25,52.0,3,8,37.5,5,6,83.3,1,5,6,6,1,0,4,3,16
Javonte Green,CHI,CHI @ SAC,03/14/2022,L,17,5,2,4,50.0,1,1,100,0,0,-,3,3,6,0,1,0,0,2,1
Ayo Dosunmu,CHI,CHI @ SAC,03/14/2022,L,31,6,3,9,33.3,0,5,0.0,0,0,-,1,1,2,2,0,0,2,1,-14
Rudy Gay,UTA,UTA vs. MIL,03/14/2022,L,22,5,1,4,25.0,1,2,50.0,2,2,100,1,4,5,1,0,0,2,5,-13
Serge Ibaka,MIL,MIL @ UTA,03/14/2022,W,7,2,1,2,50.0,0,1,0.0,0,0,-,0,4,4,0,0,0,0,1,4
George Hill,MIL,MIL @ UTA,03/14/2022,W,14,0,0,1,0.0,0,0,-,0,0,-,0,2,2,2,2,0,0,0,-1
Montrezl Harrell,CHA,CHA @ OKC,03/14/2022,W,18,5,1,1,100,0,0,-,3,3,100,0,0,0,2,0,1,0,4,-5
Hassan Whiteside,UTA,UTA vs. MIL,03/14/2022,L,16,3,1,2,50.0,0,0,-,1,2,50.0,1,4,5,1,0,4,0,2,-3
Thaddeus Young,TOR,TOR @ LAL,03/14/2022,W,15,2,1,5,20.0,0,1,0.0,0,0,-,3,7,10,2,2,1,2,3,-9
Khem Birch,TOR,TOR @ LAL,03/14/2022,W,11,1,0,0,-,0,0,-,1,2,50.0,0,2,2,0,0,2,0,3,-8
Scottie Barnes,TOR,TOR @ LAL,03/14/2022,W,40,21,9,17,52.9,1,2,50.0,2,3,66.7,4,5,9,5,1,2,2,3,21
Armoni Brooks,TOR,TOR @ LAL,03/14/2022,W,4,0,0,2,0.0,0,2,0.0,0,0,-,1,0,1,0,0,0,0,0,-2
Talen Horton-Tucker,LAL,LAL vs. TOR,03/14/2022,L,27,20,8,13,61.5,3,5,60.0,1,2,50.0,1,4,5,5,2,1,1,5,12
Chris Boucher,TOR,TOR @ LAL,03/14/2022,W,20,13,5,8,62.5,2,5,40.0,1,2,50.0,3,5,8,0,0,0,0,1,-12
Fred VanVleet,TOR,TOR @ LAL,03/14/2022,W,40,11,3,14,21.4,2,12,16.7,3,4,75.0,0,7,7,7,1,0,2,3,21
Stanley Johnson,LAL,LAL vs. TOR,03/14/2022,L,15,2,0,1,0.0,0,1,0.0,2,2,100,0,3,3,1,0,1,1,1,-7
Wayne Ellington,LAL,LAL vs. TOR,03/14/2022,L,25,6,2,6,33.3,2,5,40.0,0,0,-,0,0,0,3,2,1,0,2,21
Russell Westbrook,LAL,LAL vs. TOR,03/14/2022,L,35,14,4,10,40.0,0,1,0.0,6,7,85.7,2,6,8,4,1,0,1,2,4
LeBron James,LAL,LAL vs. TOR,03/14/2022,L,40,30,11,19,57.9,4,7,57.1,4,7,57.1,3,6,9,3,0,2,5,4,-21
Eric Paschall,UTA,UTA vs. MIL,03/14/2022,L,16,4,1,4,25.0,0,2,0.0,2,2,100,2,1,3,1,0,0,0,0,-8
Jevon Carter,MIL,MIL @ UTA,03/14/2022,W,21,5,1,1,100,1,1,100,2,2,100,1,1,2,2,0,1,0,1,13
Royce O'Neale,UTA,UTA vs. MIL,03/14/2022,L,38,12,4,13,30.8,2,6,33.3,2,2,100,3,4,7,2,2,0,2,4,9
Bobby Portis,MIL,MIL @ UTA,03/14/2022,W,28,7,3,9,33.3,1,5,20.0,0,0,-,2,4,6,1,0,1,1,0,-1
Jordan Clarkson,UTA,UTA vs. MIL,03/14/2022,L,32,8,3,14,21.4,2,9,22.2,0,0,-,1,1,2,1,1,0,2,3,-21
Rudy Gobert,UTA,UTA vs. MIL,03/14/2022,L,32,18,6,8,75.0,0,0,-,6,8,75.0,4,10,14,0,1,0,2,2,-3
Wesley Matthews,MIL,MIL @ UTA,03/14/2022,W,26,6,2,3,66.7,2,3,66.7,0,0,-,0,2,2,0,0,0,1,2,10
Ish Smith,WAS,WAS @ GSW,03/14/2022,L,24,11,4,12,33.3,3,4,75.0,0,0,-,0,1,1,7,0,1,0,2,-9
Klay Thompson,GSW,GSW vs. WAS,03/14/2022,W,33,20,7,19,36.8,4,12,33.3,2,2,100,0,4,4,1,0,0,1,1,0
Mason Plumlee,CHA,CHA @ OKC,03/14/2022,W,28,5,2,3,66.7,0,0,-,1,3,33.3,2,8,10,8,1,4,1,1,25
LaMelo Ball,CHA,CHA @ OKC,03/14/2022,W,30,21,6,13,46.2,5,8,62.5,4,4,100,1,4,5,7,2,0,3,3,20
Karl-Anthony Towns,MIN,MIN @ SAS,03/14/2022,W,36,60,19,31,61.3,7,11,63.6,15,16,93.8,2,15,17,3,1,0,6,5,16
Patrick Beverley,MIN,MIN @ SAS,03/14/2022,W,30,20,5,8,62.5,3,4,75.0,7,8,87.5,1,3,4,8,1,1,1,3,2
Olivier Sarr,OKC,OKC vs. CHA,03/14/2022,L,32,7,2,5,40.0,0,1,0.0,3,4,75.0,3,4,7,3,0,1,1,3,-6
JT Thor,CHA,CHA @ OKC,03/14/2022,W,2,2,1,1,100,0,0,-,0,0,-,0,1,1,0,0,0,0,0,-2
Lindy Waters III,OKC,OKC vs. CHA,03/14/2022,L,24,4,2,8,25.0,0,6,0.0,0,0,-,0,6,6,2,2,1,1,2,-4
Nick Richards,CHA,CHA @ OKC,03/14/2022,W,2,2,1,2,50.0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2
Jalen McDaniels,CHA,CHA @ OKC,03/14/2022,W,13,2,1,5,20.0,0,1,0.0,0,0,-,1,1,2,0,0,0,0,2,-12
Cody Martin,CHA,CHA @ OKC,03/14/2022,W,21,11,4,6,66.7,1,1,100,2,2,100,0,0,0,0,3,0,0,0,0
Shai Gilgeous-Alexander,OKC,OKC vs. CHA,03/14/2022,L,36,32,12,20,60.0,3,7,42.9,5,5,100,2,6,8,5,0,0,3,5,-3
Miles Bridges,CHA,CHA @ OKC,03/14/2022,W,30,27,11,15,73.3,5,6,83.3,0,0,-,0,3,3,6,1,0,0,1,28
James Harden,PHI,PHI vs. DEN,03/14/2022,L,39,24,6,11,54.5,1,4,25.0,11,12,91.7,0,9,9,11,0,1,4,1,2
Matisse Thybulle,PHI,PHI vs. DEN,03/14/2022,L,26,9,4,7,57.1,1,3,33.3,0,0,-,2,3,5,3,6,2,2,4,16
Terry Rozier,CHA,CHA @ OKC,03/14/2022,W,32,30,11,17,64.7,4,8,50.0,4,4,100,0,6,6,4,2,0,2,3,16
Juan Toscano-Anderson,GSW,GSW vs. WAS,03/14/2022,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-1
Daniel Gafford,WAS,WAS @ GSW,03/14/2022,L,21,9,4,6,66.7,0,0,-,1,3,33.3,1,3,4,0,0,0,1,2,-12
Jonathan Kuminga,GSW,GSW vs. WAS,03/14/2022,W,28,12,5,8,62.5,2,5,40.0,0,0,-,2,6,8,3,2,2,3,5,-10
Anthony Gill,WAS,WAS @ GSW,03/14/2022,L,2,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,-1
Moses Moody,GSW,GSW vs. WAS,03/14/2022,W,19,3,1,3,33.3,1,3,33.3,0,0,-,0,1,1,1,0,0,0,2,11
Corey Kispert,WAS,WAS @ GSW,03/14/2022,L,20,4,2,3,66.7,0,0,-,0,0,-,0,3,3,0,0,0,2,1,-4
Jrue Holiday,MIL,MIL @ UTA,03/14/2022,W,37,29,10,21,47.6,2,6,33.3,7,8,87.5,0,4,4,7,5,0,3,3,5
Nikola Vucevic,CHI,CHI @ SAC,03/14/2022,L,33,23,10,22,45.5,3,7,42.9,0,0,-,1,9,10,2,0,0,0,3,-14
Brook Lopez,MIL,MIL @ UTA,03/14/2022,W,15,6,1,4,25.0,1,3,33.3,3,4,75.0,1,0,1,1,1,0,1,4,-1
Draymond Green,GSW,GSW vs. WAS,03/14/2022,W,20,6,2,4,50.0,1,3,33.3,1,2,50.0,0,7,7,6,1,0,3,2,24
Kentavious Caldwell-Pope,WAS,WAS @ GSW,03/14/2022,L,35,19,8,14,57.1,1,4,25.0,2,3,66.7,1,1,2,1,2,0,0,2,0
Otto Porter Jr.,GSW,GSW vs. WAS,03/14/2022,W,22,7,2,4,50.0,1,3,33.3,2,3,66.7,1,3,4,0,0,0,0,1,4
Kristaps Porzingis,WAS,WAS @ GSW,03/14/2022,L,27,25,7,13,53.8,1,5,20.0,10,10,100,1,7,8,4,0,0,3,1,-2
Rui Hachimura,WAS,WAS @ GSW,03/14/2022,L,23,12,5,7,71.4,2,2,100,0,0,-,0,3,3,1,0,0,1,1,-5
Jordan Poole,GSW,GSW vs. WAS,03/14/2022,W,32,20,7,13,53.8,1,4,25.0,5,7,71.4,0,2,2,3,2,1,2,4,11
Trey Lyles,SAC,SAC vs. CHI,03/14/2022,W,24,9,3,4,75.0,0,0,-,3,4,75.0,4,7,11,1,0,0,0,1,9
Deni Avdija,WAS,WAS @ GSW,03/14/2022,L,29,13,4,8,50.0,2,4,50.0,3,5,60.0,0,2,2,4,1,0,0,3,-13
DeMar DeRozan,CHI,CHI @ SAC,03/14/2022,L,40,21,7,17,41.2,0,0,-,7,7,100,1,6,7,6,0,0,2,3,0
Tristan Thompson,CHI,CHI @ SAC,03/14/2022,L,15,0,0,0,-,0,0,-,0,0,-,0,5,5,0,2,2,1,5,7
Maurice Harkless,SAC,SAC vs. CHI,03/14/2022,W,6,0,0,0,-,0,0,-,0,0,-,0,2,2,1,1,0,2,2,-2
Domantas Sabonis,SAC,SAC vs. CHI,03/14/2022,W,38,22,6,15,40.0,0,1,0.0,10,10,100,0,7,7,4,1,0,4,4,12
Derrick Jones Jr.,CHI,CHI @ SAC,03/14/2022,L,18,2,0,1,0.0,0,1,0.0,2,2,100,2,4,6,1,2,1,1,0,4
Jaden McDaniels,MIN,MIN @ SAS,03/14/2022,W,32,11,4,7,57.1,1,3,33.3,2,2,100,0,4,4,1,1,1,1,1,-2
Richaun Holmes,SAC,SAC vs. CHI,03/14/2022,W,10,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,1,0,3,-1
Zach LaVine,CHI,CHI @ SAC,03/14/2022,L,36,27,8,18,44.4,2,7,28.6,9,9,100,1,2,3,6,0,1,2,1,-21
Harrison Barnes,SAC,SAC vs. CHI,03/14/2022,W,37,6,2,8,25.0,0,4,0.0,2,2,100,1,5,6,6,1,2,2,1,14
Alex Caruso,CHI,CHI @ SAC,03/14/2022,L,27,6,2,7,28.6,1,4,25.0,1,2,50.0,0,1,1,2,0,1,4,3,-10
Donte DiVincenzo,SAC,SAC vs. CHI,03/14/2022,W,35,15,4,9,44.4,3,5,60.0,4,4,100,1,6,7,4,1,0,1,1,6
Chimezie Metu,SAC,SAC vs. CHI,03/14/2022,W,20,10,4,7,57.1,2,3,66.7,0,0,-,0,3,3,1,3,0,0,2,-1
Coby White,CHI,CHI @ SAC,03/14/2022,L,23,13,4,10,40.0,3,9,33.3,2,2,100,0,0,0,3,0,0,1,2,2
Davion Mitchell,SAC,SAC vs. CHI,03/14/2022,W,26,16,7,14,50.0,2,4,50.0,0,0,-,0,2,2,2,2,0,1,2,-4
Mike Conley,UTA,UTA vs. MIL,03/14/2022,L,32,29,10,13,76.9,6,9,66.7,3,4,75.0,0,2,2,7,2,0,1,4,3
Joel Embiid,PHI,PHI @ ORL,03/13/2022,W,41,35,9,28,32.1,2,5,40.0,15,17,88.2,4,12,16,7,1,2,2,1,11
Naji Marshall,NOP,NOP vs. HOU,03/13/2022,W,37,17,6,12,50.0,1,5,20.0,4,6,66.7,3,7,10,2,2,0,2,2,18
Derrick White,BOS,BOS vs. DAL,03/13/2022,L,22,5,2,10,20.0,0,4,0.0,1,2,50.0,0,4,4,1,0,0,1,3,-6
Robert Williams III,BOS,BOS vs. DAL,03/13/2022,L,35,10,4,4,100,0,0,-,2,2,100,4,3,7,1,0,0,0,4,-2
Grant Williams,BOS,BOS vs. DAL,03/13/2022,L,22,2,1,6,16.7,0,4,0.0,0,0,-,1,3,4,0,1,0,1,1,-6
Daishen Nix,HOU,HOU @ NOP,03/13/2022,L,22,8,3,5,60.0,1,2,50.0,1,2,50.0,1,1,2,5,0,0,2,0,-5
D.J. Augustin,LAL,LAL @ PHX,03/13/2022,L,9,0,0,2,0.0,0,2,0.0,0,0,-,0,3,3,2,0,0,1,0,5
Georges Niang,PHI,PHI @ ORL,03/13/2022,W,36,16,6,10,60.0,4,8,50.0,0,0,-,0,4,4,0,0,0,0,3,-4
Dwight Howard,LAL,LAL @ PHX,03/13/2022,L,17,2,1,1,100,0,0,-,0,0,-,2,3,5,2,0,0,0,2,-11
Julius Randle,NYK,NYK @ BKN,03/13/2022,L,37,26,9,17,52.9,3,7,42.9,5,6,83.3,0,4,4,4,1,0,3,4,-3
Bruce Brown,BKN,BKN vs. NYK,03/13/2022,W,41,15,7,14,50.0,0,1,0.0,1,2,50.0,3,4,7,5,2,0,1,4,9
Mitchell Robinson,NYK,NYK @ BKN,03/13/2022,L,22,7,3,4,75.0,0,0,-,1,2,50.0,5,0,5,1,0,4,1,4,-17
Immanuel Quickley,NYK,NYK @ BKN,03/13/2022,L,25,6,2,10,20.0,0,5,0.0,2,2,100,1,6,7,4,1,0,1,0,3
Cam Thomas,BKN,BKN vs. NYK,03/13/2022,W,8,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-9
Goran Dragic,BKN,BKN vs. NYK,03/13/2022,W,38,7,3,8,37.5,1,4,25.0,0,0,-,1,2,3,6,2,1,3,3,3
RJ Barrett,NYK,NYK @ BKN,03/13/2022,L,42,24,8,21,38.1,1,5,20.0,7,8,87.5,0,1,1,2,3,0,3,1,-2
Obi Toppin,NYK,NYK @ BKN,03/13/2022,L,8,8,3,5,60.0,2,3,66.7,0,0,-,2,2,4,0,0,0,0,1,7
Miles McBride,NYK,NYK @ BKN,03/13/2022,L,11,0,0,1,0.0,0,0,-,0,0,-,0,0,0,2,0,0,0,1,13
Jericho Sims,NYK,NYK @ BKN,03/13/2022,L,23,6,3,3,100,0,0,-,0,0,-,3,7,10,2,0,1,1,2,20
James Johnson,BKN,BKN vs. NYK,03/13/2022,W,31,2,1,5,20.0,0,2,0.0,0,0,-,0,5,5,5,3,0,1,6,0
Patty Mills,BKN,BKN vs. NYK,03/13/2022,W,31,5,2,11,18.2,1,9,11.1,0,0,-,2,1,3,4,0,0,0,1,0
Nic Claxton,BKN,BKN vs. NYK,03/13/2022,W,21,10,4,6,66.7,0,0,-,2,3,66.7,2,3,5,1,2,1,0,0,0
Blake Griffin,BKN,BKN vs. NYK,03/13/2022,W,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2
Kevin Durant,BKN,BKN vs. NYK,03/13/2022,W,43,53,19,37,51.4,4,13,30.8,11,12,91.7,1,5,6,9,2,0,5,3,11
Kenyon Martin Jr.,HOU,HOU @ NOP,03/13/2022,L,26,5,2,6,33.3,0,2,0.0,1,1,100,0,1,1,2,0,0,1,3,-14
Josh Christopher,HOU,HOU @ NOP,03/13/2022,L,26,13,5,9,55.6,1,4,25.0,2,4,50.0,1,4,5,2,0,0,4,1,-8
Trey Murphy III,NOP,NOP vs. HOU,03/13/2022,W,21,8,4,7,57.1,0,2,0.0,0,1,0.0,2,2,4,2,1,0,0,1,8
Alperen Sengun,HOU,HOU @ NOP,03/13/2022,L,15,9,4,6,66.7,1,1,100,0,0,-,1,3,4,1,0,0,1,6,-4
Jose Alvarado,NOP,NOP vs. HOU,03/13/2022,W,30,16,7,14,50.0,2,6,33.3,0,0,-,0,2,2,10,6,0,0,3,24
Theo Maledon,OKC,OKC vs. MEM,03/13/2022,L,26,9,3,11,27.3,2,7,28.6,1,2,50.0,2,3,5,4,1,0,0,3,-1
Carmelo Anthony,LAL,LAL @ PHX,03/13/2022,L,18,18,6,11,54.5,4,7,57.1,2,4,50.0,0,1,1,1,0,0,0,2,-15
Russell Westbrook,LAL,LAL @ PHX,03/13/2022,L,29,13,5,10,50.0,0,2,0.0,3,4,75.0,1,1,2,2,0,0,4,1,-6
JaVale McGee,PHX,PHX vs. LAL,03/13/2022,W,10,10,4,4,100,0,0,-,2,2,100,0,2,2,1,0,1,0,4,5
Nicolas Batum,LAC,LAC @ DET,03/13/2022,W,26,2,1,6,16.7,0,5,0.0,0,0,-,1,2,3,3,1,0,0,0,11
Stanley Johnson,LAL,LAL @ PHX,03/13/2022,L,11,2,0,2,0.0,0,1,0.0,2,2,100,0,3,3,1,0,0,0,2,-20
Landry Shamet,PHX,PHX vs. LAL,03/13/2022,W,15,6,2,3,66.7,1,2,50.0,1,1,100,0,1,1,2,0,0,0,0,-2
Cory Joseph,DET,DET vs. LAC,03/13/2022,L,35,10,3,10,30.0,2,5,40.0,2,2,100,2,4,6,4,1,0,1,4,-5
Kelly Olynyk,DET,DET vs. LAC,03/13/2022,L,15,9,2,4,50.0,1,1,100,4,4,100,1,2,3,0,0,0,2,3,-9
Talen Horton-Tucker,LAL,LAL @ PHX,03/13/2022,L,22,3,1,8,12.5,0,4,0.0,1,2,50.0,0,2,2,3,0,1,3,1,-21
Ivica Zubac,LAC,LAC @ DET,03/13/2022,W,30,14,6,11,54.5,0,0,-,2,4,50.0,4,11,15,1,1,1,2,2,10
Al Horford,BOS,BOS vs. DAL,03/13/2022,L,33,17,6,10,60.0,1,3,33.3,4,4,100,1,5,6,2,5,2,0,0,1
Maxi Kleber,DAL,DAL @ BOS,03/13/2022,W,29,0,0,2,0.0,0,1,0.0,0,0,-,1,12,13,0,0,3,1,3,7
Amir Coffey,LAC,LAC @ DET,03/13/2022,W,36,8,3,11,27.3,0,6,0.0,2,2,100,0,2,2,4,0,0,1,2,-8
Saddiq Bey,DET,DET vs. LAC,03/13/2022,L,34,13,3,11,27.3,2,7,28.6,5,6,83.3,0,8,8,0,2,0,1,0,5
Mo Bamba,ORL,ORL vs. PHI,03/13/2022,L,33,5,2,7,28.6,1,2,50.0,0,0,-,2,3,5,0,1,2,1,5,-11
Wendell Carter Jr.,ORL,ORL vs. PHI,03/13/2022,L,39,23,10,19,52.6,2,5,40.0,1,2,50.0,0,12,12,2,0,3,2,4,-13
Devonte' Graham,NOP,NOP vs. HOU,03/13/2022,W,28,10,3,9,33.3,2,6,33.3,2,2,100,0,1,1,7,2,0,1,1,12
Alize Johnson,NOP,NOP vs. HOU,03/13/2022,W,4,0,0,2,0.0,0,0,-,0,0,-,1,0,1,0,1,0,0,0,1
Jaxson Hayes,NOP,NOP vs. HOU,03/13/2022,W,27,21,6,8,75.0,2,3,66.7,7,9,77.8,0,6,6,0,2,1,1,4,17
Kevin Porter Jr.,HOU,HOU @ NOP,03/13/2022,L,26,6,2,9,22.2,1,5,20.0,1,3,33.3,1,5,6,5,0,1,5,3,-20
Garrison Mathews,HOU,HOU @ NOP,03/13/2022,L,29,7,2,3,66.7,1,2,50.0,2,4,50.0,0,0,0,0,0,0,1,1,-21
Jalen Green,HOU,HOU @ NOP,03/13/2022,L,27,17,6,13,46.2,2,5,40.0,3,3,100,1,1,2,4,1,0,4,1,-18
Tyrese Haliburton,IND,IND @ ATL,03/13/2022,L,40,25,9,15,60.0,3,5,60.0,4,4,100,1,1,2,10,1,0,5,2,2
Terry Taylor,IND,IND @ ATL,03/13/2022,L,25,16,6,8,75.0,1,2,50.0,3,4,75.0,3,1,4,0,0,0,0,0,-10
Jonas Valanciunas,NOP,NOP vs. HOU,03/13/2022,W,27,32,12,18,66.7,1,3,33.3,7,7,100,4,6,10,3,1,1,1,3,14
Jae'Sean Tate,HOU,HOU @ NOP,03/13/2022,L,20,14,6,10,60.0,2,5,40.0,0,0,-,1,1,2,0,0,0,3,4,-11
Herbert Jones,NOP,NOP vs. HOU,03/13/2022,W,30,7,3,11,27.3,0,4,0.0,1,2,50.0,1,2,3,2,1,0,4,5,19
Usman Garuba,HOU,HOU @ NOP,03/13/2022,L,7,3,1,1,100,1,1,100,0,0,-,0,3,3,0,1,1,1,1,3
Clint Capela,ATL,ATL vs. IND,03/13/2022,W,22,10,5,5,100,0,0,-,0,0,-,1,5,6,3,3,1,0,5,-9
Timothe Luwawu-Cabarrot,ATL,ATL vs. IND,03/13/2022,W,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-1
Kevin Huerter,ATL,ATL vs. IND,03/13/2022,W,35,14,5,11,45.5,4,9,44.4,0,0,-,0,3,3,1,2,0,3,4,-2
Trae Young,ATL,ATL vs. IND,03/13/2022,W,35,47,13,20,65.0,7,10,70.0,14,14,100,0,3,3,5,2,0,4,3,2
Oshae Brissett,IND,IND @ ATL,03/13/2022,L,29,15,5,8,62.5,3,5,60.0,2,4,50.0,1,3,4,2,1,0,2,4,5
De'Andre Hunter,ATL,ATL vs. IND,03/13/2022,W,37,15,5,10,50.0,3,4,75.0,2,2,100,0,1,1,2,0,0,1,4,-1
Willy Hernangomez,NOP,NOP vs. HOU,03/13/2022,W,17,12,4,6,66.7,1,1,100,3,4,75.0,3,3,6,4,1,1,1,0,10
Christian Wood,HOU,HOU @ NOP,03/13/2022,L,26,8,3,9,33.3,0,2,0.0,2,2,100,2,10,12,4,0,1,2,3,-23
Jalen Suggs,ORL,ORL vs. PHI,03/13/2022,L,22,10,4,13,30.8,0,7,0.0,2,2,100,1,4,5,6,1,1,0,1,-9
Isaiah Joe,PHI,PHI @ ORL,03/13/2022,W,13,3,1,2,50.0,1,1,100,0,0,-,1,1,2,0,1,0,0,1,-8
Matisse Thybulle,PHI,PHI @ ORL,03/13/2022,W,18,0,0,4,0.0,0,0,-,0,0,-,2,0,2,0,1,0,1,5,0
Chuma Okeke,ORL,ORL vs. PHI,03/13/2022,L,20,13,5,7,71.4,3,5,60.0,0,0,-,0,3,3,1,1,0,0,4,9
Moritz Wagner,ORL,ORL vs. PHI,03/13/2022,L,14,10,4,8,50.0,2,4,50.0,0,0,-,0,1,1,1,0,0,1,0,11
Shake Milton,PHI,PHI @ ORL,03/13/2022,W,12,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,1,0,0,0,1,-11
Markelle Fultz,ORL,ORL vs. PHI,03/13/2022,L,19,8,3,6,50.0,1,1,100,1,2,50.0,1,3,4,11,2,0,3,0,12
Gary Harris,ORL,ORL vs. PHI,03/13/2022,L,18,9,3,5,60.0,3,5,60.0,0,0,-,0,3,3,0,0,1,0,6,5
DeAndre Jordan,PHI,PHI @ ORL,03/13/2022,W,12,0,0,0,-,0,0,-,0,0,-,1,3,4,0,0,0,1,0,-9
Luka Doncic,DAL,DAL @ BOS,03/13/2022,W,39,26,8,16,50.0,4,10,40.0,6,6,100,0,8,8,8,3,0,5,0,7
Danilo Gallinari,ATL,ATL vs. IND,03/13/2022,W,28,15,6,10,60.0,1,3,33.3,2,2,100,1,4,5,5,0,0,1,1,7
Lou Williams,ATL,ATL vs. IND,03/13/2022,W,13,2,1,4,25.0,0,3,0.0,0,0,-,0,1,1,3,1,0,0,0,3
Franz Wagner,ORL,ORL vs. PHI,03/13/2022,L,35,6,2,6,33.3,0,1,0.0,2,4,50.0,3,4,7,1,2,0,1,2,-7
R.J. Hampton,ORL,ORL vs. PHI,03/13/2022,L,27,11,4,8,50.0,3,6,50.0,0,2,0.0,0,2,2,3,0,0,1,1,4
Tyrese Maxey,PHI,PHI @ ORL,03/13/2022,W,45,10,4,10,40.0,1,6,16.7,1,2,50.0,0,2,2,5,1,0,1,5,15
Cole Anthony,ORL,ORL vs. PHI,03/13/2022,L,37,19,4,12,33.3,3,7,42.9,8,8,100,1,7,8,3,0,0,2,4,-11
