Player,Team,Match Up,Game Date,W/L,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST%,AST_TO,AST_RATIO,OREB%,DREB%,REB%,TM_TOV%,EFG%,TS%,USG%,PACE
Precious Achiuwa,MIA,MIA @ DET,05/16/2021,W,42,118.2,114.0,4.2,0.0,0.00,0.0,8.8,17.5,13.5,9.5,62.5,60.3,22.6,100.47
Alex Len,WAS,WAS vs. CHA,05/16/2021,W,5,72.7,130.0,-57.3,0.0,0.00,0.0,0.0,12.5,6.3,0.0,0.0,0.0,0.0,108.00
Matt Thomas,UTA,UTA @ SAC,05/16/2021,W,3,50.0,125.0,-75.0,0.0,0.00,0.0,0.0,50.0,16.7,33.3,0.0,0.0,37.5,133.18
Chandler Hutchison,WAS,WAS vs. CHA,05/16/2021,W,10,61.9,141.7,-79.8,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,112.85
Facundo Campazzo,DEN,DEN @ POR,05/16/2021,L,14,106.9,144.8,-37.9,16.7,0.00,33.3,0.0,15.4,6.1,0.0,0.0,25.8,12.1,101.48
James Nunnally,NOP,NOP vs. LAL,05/16/2021,L,6,78.6,64.3,14.3,0.0,0.00,0.0,0.0,16.7,8.3,100.0,0.0,0.0,7.1,106.72
Sam Merrill,MIL,MIL @ CHI,05/16/2021,L,28,88.1,113.6,-25.4,6.7,0.00,10.0,0.0,12.0,5.0,0.0,11.1,11.1,13.0,101.94
Juwan Morgan,UTA,UTA @ SAC,05/16/2021,W,3,50.0,125.0,-75.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,133.18
Aaron Nesmith,BOS,BOS @ NYK,05/16/2021,L,20,102.5,123.7,-21.2,12.5,2.00,22.2,4.3,13.3,7.9,11.1,16.7,16.7,14.3,96.16
Anthony Gill,WAS,WAS vs. CHA,05/16/2021,W,7,100.0,66.7,33.3,0.0,0.00,0.0,0.0,20.0,11.8,100.0,0.0,0.0,5.0,117.44
Elfrid Payton,NYK,NYK vs. BOS,05/16/2021,W,14,96.3,88.9,7.4,12.5,0.50,14.3,0.0,28.6,14.8,28.6,0.0,0.0,21.4,93.80
Willie Cauley-Stein,DAL,DAL @ MIN,05/16/2021,L,9,123.5,116.7,6.9,0.0,0.00,0.0,8.3,25.0,12.5,50.0,0.0,0.0,9.5,89.52
Immanuel Quickley,NYK,NYK vs. BOS,05/16/2021,W,14,115.4,119.2,-3.8,0.0,0.00,0.0,0.0,6.7,3.2,0.0,14.3,14.3,22.6,88.87
Udoka Azubuike,UTA,UTA @ SAC,05/16/2021,W,3,50.0,125.0,-75.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,113.6,25.0,133.18
Jared Dudley,LAL,LAL @ NOP,05/16/2021,W,5,50.0,66.7,-16.7,0.0,0.00,0.0,0.0,40.0,20.0,0.0,0.0,0.0,20.0,101.71
Kent Bazemore,GSW,GSW vs. MEM,05/16/2021,W,27,108.6,108.3,0.3,8.7,1.00,33.3,0.0,3.4,1.8,33.3,0.0,53.2,6.2,103.60
Robert Covington,POR,POR vs. DEN,05/16/2021,W,29,148.3,108.2,40.1,0.0,0.00,0.0,8.0,15.2,12.1,0.0,20.0,27.6,7.1,99.17
Trent Forrest,UTA,UTA @ SAC,05/16/2021,W,7,66.7,105.9,-39.2,0.0,0.00,0.0,11.1,14.3,12.5,66.7,0.0,0.0,17.6,105.21
JaKarr Sampson,IND,IND @ TOR,05/16/2021,W,12,111.1,107.7,3.4,0.0,0.00,0.0,6.7,13.3,10.0,25.0,0.0,0.0,12.9,105.41
Xavier Tillman,MEM,MEM @ GSW,05/16/2021,L,3,120.0,40.0,80.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,92.31
Tyus Jones,MEM,MEM @ GSW,05/16/2021,L,10,95.5,81.0,14.5,25.0,2.00,40.0,0.0,33.3,15.8,20.0,0.0,0.0,12.5,102.86
Garrison Mathews,WAS,WAS vs. CHA,05/16/2021,W,8,200.0,106.7,93.3,0.0,0.00,0.0,0.0,11.1,6.7,0.0,0.0,0.0,0.0,93.30
Thanasis Antetokounmpo,MIL,MIL @ CHI,05/16/2021,L,15,103.2,106.1,-2.8,9.1,1.00,16.7,0.0,7.1,3.0,16.7,0.0,0.0,13.5,102.17
Gary Clark,PHI,PHI vs. ORL,05/16/2021,W,9,121.7,122.7,-1.0,0.0,0.00,0.0,0.0,11.1,5.0,0.0,0.0,0.0,4.2,122.26
Didi Louzada,NOP,NOP vs. LAL,05/16/2021,L,19,86.5,120.0,-33.5,7.7,0.33,16.7,0.0,4.3,2.6,50.0,0.0,0.0,12.8,99.44
Patrick Williams,CHI,CHI vs. MIL,05/16/2021,W,30,109.1,113.8,-4.8,4.8,0.33,7.7,11.5,11.1,11.3,23.1,50.0,59.0,16.7,106.11
Bol Bol,DEN,DEN @ POR,05/16/2021,L,7,141.2,106.3,34.9,0.0,0.00,0.0,0.0,28.6,11.1,0.0,16.7,23.3,28.6,111.29
Caris LeVert,IND,IND @ TOR,05/16/2021,W,21,126.5,106.3,20.3,33.3,6.00,35.3,0.0,4.2,2.1,5.9,56.3,66.6,20.0,108.79
Malik Monk,CHA,CHA @ WAS,05/16/2021,L,6,50.0,125.0,-75.0,33.3,0.00,33.3,0.0,16.7,5.9,0.0,0.0,0.0,11.8,100.73
Lonnie Walker IV,SAS,SAS vs. PHX,05/16/2021,L,27,108.5,122.0,-13.6,8.7,0.67,15.4,0.0,6.9,3.3,23.1,56.3,56.3,16.7,104.57
Tyler Bey,DAL,DAL @ MIN,05/16/2021,L,4,90.0,100.0,-10.0,0.0,0.00,0.0,20.0,33.3,25.0,33.3,0.0,0.0,25.0,111.20
Alex Caruso,LAL,LAL @ NOP,05/16/2021,W,19,120.5,87.2,33.3,33.3,5.00,35.7,5.6,11.1,8.3,7.1,56.3,56.3,22.0,96.66
