Player,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Langston Galloway,PHX,PHX @ SAS,05/16/2021,W,26,10,4,12,33.3,2,8,25.0,0,0,-,1,0,1,1,0,0,0,0,-21
Boban Marjanovic,DAL,DAL @ MIN,05/16/2021,L,4,3,0,0,-,0,0,-,3,4,75.0,0,0,0,1,0,0,1,0,-1
Jusuf Nurkic,POR,POR vs. DEN,05/16/2021,W,20,20,8,10,80.0,1,1,100,3,6,50.0,4,9,13,2,1,2,3,3,12
Rudy Gobert,UTA,UTA @ SAC,05/16/2021,W,28,13,6,8,75.0,0,1,0.0,1,4,25.0,4,12,16,1,0,2,0,1,36
Tre Jones,SAS,SAS vs. PHX,05/16/2021,L,18,9,3,5,60.0,0,1,0.0,3,4,75.0,0,0,0,7,1,0,0,1,5
Justin Jackson,MIL,MIL @ CHI,05/16/2021,L,33,9,3,9,33.3,2,6,33.3,1,2,50.0,2,4,6,1,0,0,1,1,4
Ryan Arcidiacono,CHI,CHI vs. MIL,05/16/2021,W,17,14,5,6,83.3,4,4,100,0,0,-,0,4,4,2,0,0,1,3,15
Immanuel Quickley,NYK,NYK vs. BOS,05/16/2021,W,14,2,1,7,14.3,0,3,0.0,0,0,-,0,1,1,0,0,0,0,0,-1
P.J. Washington,CHA,CHA @ WAS,05/16/2021,L,30,11,4,10,40.0,3,9,33.3,0,0,-,1,8,9,4,2,1,2,4,2
Jaxson Hayes,NOP,NOP vs. LAL,05/16/2021,L,20,10,4,7,57.1,0,0,-,2,2,100,2,5,7,3,1,0,0,2,4
Nicolo Melli,DAL,DAL @ MIN,05/16/2021,L,15,10,3,6,50.0,2,5,40.0,2,2,100,2,3,5,2,1,0,0,0,2
Malachi Flynn,TOR,TOR vs. IND,05/16/2021,L,46,27,8,22,36.4,5,13,38.5,6,6,100,0,4,4,5,2,1,2,2,-12
Carsen Edwards,BOS,BOS @ NYK,05/16/2021,L,27,10,4,13,30.8,2,8,25.0,0,0,-,0,2,2,0,1,0,1,1,8
T.J. Leaf,POR,POR vs. DEN,05/16/2021,W,5,0,0,1,0.0,0,0,-,0,0,-,0,1,1,0,0,0,0,0,-11
De'Andre Hunter,ATL,ATL vs. HOU,05/16/2021,W,24,14,4,11,36.4,0,3,0.0,6,8,75.0,0,2,2,1,0,1,2,5,8
Jaylen Hoard,OKC,OKC vs. LAC,05/16/2021,W,29,5,2,5,40.0,0,2,0.0,1,2,50.0,1,1,2,3,1,2,2,1,-7
Jalen Brunson,DAL,DAL @ MIN,05/16/2021,L,27,15,6,12,50.0,2,4,50.0,1,1,100,0,0,0,3,1,0,2,2,0
Trae Young,ATL,ATL vs. HOU,05/16/2021,W,16,10,3,9,33.3,1,3,33.3,3,4,75.0,0,3,3,9,2,0,2,0,13
Nikola Jokic,DEN,DEN @ POR,05/16/2021,L,17,21,9,17,52.9,0,3,0.0,3,3,100,1,2,3,2,1,0,1,3,-13
Miye Oni,UTA,UTA @ SAC,05/16/2021,W,14,3,1,1,100,1,1,100,0,0,-,0,0,0,1,0,0,0,1,19
Georges Niang,UTA,UTA @ SAC,05/16/2021,W,19,10,3,7,42.9,2,5,40.0,2,2,100,0,1,1,1,0,0,0,1,10
Jordan Clarkson,UTA,UTA @ SAC,05/16/2021,W,32,33,11,20,55.0,6,12,50.0,5,5,100,1,1,2,3,2,0,3,3,16
Gabe Vincent,MIA,MIA @ DET,05/16/2021,W,37,15,6,12,50.0,3,7,42.9,0,0,-,0,6,6,10,2,0,3,3,3
Jarrell Brantley,UTA,UTA @ SAC,05/16/2021,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-6
Trent Forrest,UTA,UTA @ SAC,05/16/2021,W,7,0,0,1,0.0,0,0,-,0,0,-,1,1,2,0,1,0,2,0,-8
Kyle Anderson,MEM,MEM @ GSW,05/16/2021,L,29,10,4,9,44.4,0,2,0.0,2,2,100,1,4,5,4,2,1,1,2,-9
James Nunnally,NOP,NOP vs. LAL,05/16/2021,L,6,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,1,0,2
DeMar DeRozan,SAS,SAS vs. PHX,05/16/2021,L,25,23,8,14,57.1,1,1,100,6,7,85.7,1,2,3,4,0,0,2,1,-4
Elijah Bryant,MIL,MIL @ CHI,05/16/2021,L,32,16,6,13,46.2,1,5,20.0,3,3,100,2,4,6,3,0,1,4,4,11
Juancho Hernangomez,MIN,MIN vs. DAL,05/16/2021,W,11,2,1,2,50.0,0,1,0.0,0,0,-,0,1,1,2,0,0,1,3,7
Harry Giles III,POR,POR vs. DEN,05/16/2021,W,5,2,1,3,33.3,0,1,0.0,0,0,-,0,2,2,1,0,1,0,0,-11
Precious Achiuwa,MIA,MIA @ DET,05/16/2021,W,42,23,10,16,62.5,0,0,-,3,7,42.9,3,7,10,0,2,1,2,3,6
Damian Lillard,POR,POR vs. DEN,05/16/2021,W,31,22,7,13,53.8,5,9,55.6,3,3,100,0,3,3,10,0,0,4,2,24
Bruno Fernando,ATL,ATL vs. HOU,05/16/2021,W,21,10,4,10,40.0,0,0,-,2,2,100,1,8,9,1,2,0,0,1,10
Max Strus,MIA,MIA @ DET,05/16/2021,W,36,20,7,16,43.8,3,11,27.3,3,4,75.0,0,4,4,2,1,0,0,1,4
Trey Burke,DAL,DAL @ MIN,05/16/2021,L,10,2,1,4,25.0,0,2,0.0,0,0,-,0,1,1,1,0,0,0,0,1
Quinndary Weatherspoon,SAS,SAS vs. PHX,05/16/2021,L,12,11,5,6,83.3,1,1,100,0,0,-,1,0,1,2,1,0,0,1,2
Lonnie Walker IV,SAS,SAS vs. PHX,05/16/2021,L,27,9,4,8,50.0,1,5,20.0,0,0,-,0,2,2,2,0,0,3,2,-8
T.J. McConnell,IND,IND @ TOR,05/16/2021,W,40,12,6,10,60.0,0,2,0.0,0,0,-,1,4,5,17,2,1,2,2,13
Ish Smith,WAS,WAS vs. CHA,05/16/2021,W,32,14,7,11,63.6,0,1,0.0,0,0,-,1,7,8,7,0,1,1,0,15
Josh Okogie,MIN,MIN vs. DAL,05/16/2021,W,21,6,2,4,50.0,1,3,33.3,1,2,50.0,1,1,2,1,2,1,1,2,1
Ja Morant,MEM,MEM @ GSW,05/16/2021,L,38,16,7,21,33.3,1,6,16.7,1,2,50.0,1,2,3,9,1,0,4,1,-16
Marc Gasol,LAL,LAL @ NOP,05/16/2021,W,27,3,1,4,25.0,1,3,33.3,0,0,-,1,6,7,4,1,2,1,2,13
Luka Doncic,DAL,DAL @ MIN,05/16/2021,L,21,18,6,13,46.2,2,7,28.6,4,5,80.0,0,6,6,6,2,0,4,1,-15
Devonte' Graham,CHA,CHA @ WAS,05/16/2021,L,31,15,4,10,40.0,3,8,37.5,4,4,100,0,2,2,2,1,0,1,0,-6
Ben McLemore,LAL,LAL @ NOP,05/16/2021,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1
Robin Lopez,WAS,WAS vs. CHA,05/16/2021,W,27,18,9,11,81.8,0,0,-,0,0,-,4,2,6,1,1,0,2,2,21
Joe Ingles,UTA,UTA @ SAC,05/16/2021,W,30,10,3,8,37.5,2,6,33.3,2,2,100,0,5,5,7,1,0,2,2,13
Killian Hayes,DET,DET vs. MIA,05/16/2021,L,31,10,3,7,42.9,2,5,40.0,2,2,100,0,0,0,4,1,0,3,5,-9
Bojan Bogdanovic,UTA,UTA @ SAC,05/16/2021,W,30,18,5,15,33.3,2,5,40.0,6,6,100,1,5,6,4,0,0,4,1,19
Alex Caruso,LAL,LAL @ NOP,05/16/2021,W,19,9,4,8,50.0,1,4,25.0,0,0,-,1,2,3,5,0,1,1,2,13
Taj Gibson,NYK,NYK vs. BOS,05/16/2021,W,16,4,2,4,50.0,0,0,-,0,0,-,1,2,3,2,0,1,0,3,3
Robert Woodard II,SAC,SAC vs. UTA,05/16/2021,L,11,2,1,4,25.0,0,0,-,0,0,-,1,2,3,1,0,1,0,1,1
Robert Covington,POR,POR vs. DEN,05/16/2021,W,29,3,1,5,20.0,0,4,0.0,1,1,100,2,5,7,0,1,2,0,2,23
Devon Dotson,CHI,CHI vs. MIL,05/16/2021,W,21,11,5,10,50.0,1,5,20.0,0,0,-,0,2,2,4,1,0,0,2,13
Elfrid Payton,NYK,NYK vs. CHA,05/15/2021,W,12,2,1,3,33.3,0,1,0.0,0,0,-,0,2,2,2,0,0,0,3,4
Kyle Kuzma,LAL,LAL @ IND,05/15/2021,W,22,6,2,4,50.0,1,2,50.0,1,2,50.0,0,1,1,1,0,0,2,0,-4
Jeff Green,BKN,BKN vs. CHI,05/15/2021,W,17,19,7,8,87.5,5,6,83.3,0,0,-,0,0,0,0,0,0,0,0,10
Bryn Forbes,MIL,MIL vs. MIA,05/15/2021,W,20,21,7,9,77.8,5,6,83.3,2,3,66.7,0,0,0,0,0,0,1,1,0
Dewayne Dedmon,MIA,MIA @ MIL,05/15/2021,L,13,6,2,4,50.0,1,1,100,1,2,50.0,2,4,6,0,0,0,0,3,-10
Donte DiVincenzo,MIL,MIL vs. MIA,05/15/2021,W,28,11,3,10,30.0,3,8,37.5,2,4,50.0,0,9,9,4,1,0,1,3,11
Cassius Stanley,IND,IND vs. LAL,05/15/2021,L,5,0,0,1,0.0,0,0,-,0,0,-,1,0,1,0,0,0,0,2,-1
Jabari Parker,BOS,BOS @ MIN,05/15/2021,W,17,9,3,6,50.0,1,2,50.0,2,3,66.7,0,3,3,2,0,0,1,1,-10
Reggie Bullock,NYK,NYK vs. CHA,05/15/2021,W,40,17,6,12,50.0,5,9,55.6,0,0,-,0,6,6,0,0,0,0,0,14
Jordan McLaughlin,MIN,MIN vs. BOS,05/15/2021,L,15,4,2,5,40.0,0,2,0.0,0,0,-,1,1,2,1,0,0,0,1,-7
